song_id,title,type,duration,genre_id,style_id
215,Trebor,song,,,
216,March to War,song,,,
217,Buddha Screams,song,,,
218,Object May Appear Closer,song,,,
219,Offending the White Man,song,,,
220,Airwave Lament,song,,,
221,Cooped Up and We Ain't No Chickens,song,,,
222,Small Letters,song,,,
223,Spooge,song,,,
224,Empty Your Mind,song,,,
225,T-bonus Track,song,,,
226,Exposed,song,,,
227,Death Valley,song,,,
228,Pumpkin Song Rock Against Terror *,song,,,
229,Ramming Speed *,song,,,
230,filthy interlude,song,,,
231,Nothing but Bad Noose *,song,,,
232,Is This the Caribbean?,song,,,
233,Town Called Malice *,song,,,
234,Sparks *,song,,,
235,Sympathy for el Space Diablo,song,,,
236,The Joker Drunken Boxing remix / My Scrotum,song,,,
237,Didn't Know What I Didn't Know,song,,,
238,No Turning Back,song,,,
239,Stu's Standard,song,,,
240,Spring Cleaning,song,,,
241,Starlight,song,,,
242,Hale Mary *,song,,,
243,Sex Farm break,song,,,
244,Lost in Hallucination *,song,,,
245,Broke Knuckles,song,,,
246,Simple,song,,,
247,Stupid!,song,,,
248,Until Next Time,song,,,
249,Folks! *,song,,,
250,Get Off,song,,,
251,Wallace *,song,,,
252,Break,song,,,
253,Shout Out from the Closet *,song,,,
254,Extraneous Matter,song,,,
255,Mean Ride,song,,,
256,No Alternative *,song,,,
257,DamnSpirograph,song,,,
258,WeeYoYo *,song,,,
259,DigThatHoleChineseDemocracy *,song,,,
260,SummerNightFeelin *,song,,,
261,HardLuckSemaphoreMonkey,song,,,
262,Blues,song,,,
263,NastyDancer *,song,,,
264,Infusion *,song,,,
265,CloudsofAsphalt,song,,,
266,MaestroPlease,song,,,
267,IRememberYou,song,,,
268,SilverLining,song,,,
269,WashedAway,song,,,
270,Punked,song,,,
271,Intro,song,,,
272,Mudslide,song,,,
273,Good Don't Matter No Mo,song,,,
274,Hunka Chunka,song,,,
275,Hi-Ball Motherfucker!,song,,,
276,Lap It Up The Hard Thing *,song,,,
277,Petri Dish,song,,,
278,For The Money *,song,,,
279,Attack Ships off The Shoulder of Orion,song,,,
280,Dramatic Introduction,song,,,
281,Bring the Pain,song,,,
282,Dig a Little Deeper *,song,,,
283,Space Ho *,song,,,
284,Numba One Concept *,song,,,
285,geetar commentary,song,,,
286,Far From Home *,song,,,
287,Caught in the Middle *,song,,,
288,Opened My Third Eye,song,,,
289,Surf Stylings,song,,,
290,GAK,song,,,
291,Ever the Brighter,song,,,
292,Force Fed,song,,,
293,That's It *,song,,,
294,to surf and protect,song,,,
295,we got the plums,song,,,
296,sweet noodle,song,,,
297,introduction of maximus,song,,,
298,show on the road,song,,,
299,fagens cat,song,,,
300,sonic bullet,song,,,
301,searching for something,song,,,
302,muddy be them waters,song,,,
303,Stretchin Out,song,,,
304,Jimmy Jazz,song,,,
305,drum intermezzo,song,,,
306,Road Runner,song,,,
307,It is the Question,song,,,
308,The Eye *,song,,,
309,Ragnorok,song,,,
310,Nickel and Dime *,song,,,
311,AK *,song,,,
312,Hillbilly Blues *,song,,,
313,What Is It You Say You Do Here *,song,,,
314,keyboardist breakdown,song,,,
315,Cant Please em All the Time,song,,,
316,Disco Volante,song,,,
317,keep me whole,song,,,
318,lude fueled,song,,,
319,blues groove,song,,,
320,sweet honey jah,song,,,
321,noodle soup,song,,,
322,take the fng load off,song,,,
323,wheres Carlos *,song,,,
324,take care people,song,,,
325,grindhouse,song,,,
326,going nowhere *,song,,,
327,in the line of i,song,,,
328,demo crew,song,,,
329,drunk song,song,,,
330,short and sour,song,,,
331,wherever you go *,song,,,
332,pounding the pavement,song,,,
333,Peter Gunn,song,,,
334,rooting around,song,,,
335,sometimes honey,song,,,
336,interrogative *,song,,,
337,slipstream,song,,,
338,thinking out loud,song,,,
339,The Traveler *,song,,,
340,sneaky boy,song,,,
341,Someones Knocking *,song,,,
342,Zep It Up,song,,,
343,Rhinoceros *,song,,,
344,Pride N Joy,song,,,
345,A-Rod Speech Impediment,song,,,
346,Circadian Rhythym *,song,,,
347,Dead for You,song,,,
348,never together,song,,,
349,White People John McCain is *,song,,,
350,Pedro Normo,song,,,
351,Ankhsimus Funk,song,,,
352,Goodnight Ladies and Gentlemen,song,,,
353,first gear,song,,,
354,candy,song,,,
355,tale of el gordo *,song,,,
356,roll ya,song,,,
357,slept on the F again,song,,,
358,no easy piece *,song,,,
359,we can do that,song,,,
360,journey of 1000 miles,song,,,
361,the sign *,song,,,
362,shake it loose,song,,,
363,social commentary,song,,,
364,happy man,song,,,
365,still on my mind,song,,,
366,joe the plumber *,song,,,
367,country fuck stomp,song,,,
368,bare the mark *,song,,,
369,sativa *,song,,,
370,little dose *,song,,,
371,ma babee,song,,,
372,esoteric swamp,song,,,
373,Creepin Up,song,,,
374,Kick It Over,song,,,
375,Hazard Condition,song,,,
376,noodle blues,song,,,
377,Arne Saknussemm *,song,,,
378,Average White Boy Blues,song,,,
379,Git *,song,,,
380,The Religious Hour,song,,,
381,We Loves Da Ladies,song,,,
382,The Cuckhold,song,,,
383,song to be sold to nissan,song,,,
384,The Amero,song,,,
385,Republican Blues *,song,,,
386,Beds Too Big Without You,song,,,
387,Sweet Jane,song,,,
388,fight terror *,song,,,
389,sunny up,song,,,
390,utter the truth *,song,,,
391,tighties,song,,,
392,digital clipping,song,,,
393,dull alarm,song,,,
394,see through your skull,song,,,
395,terror from the skies,song,,,
396,slow bank,song,,,
397,brand yourself monkey *,song,,,
398,reign over me *,song,,,
399,slippy *,song,,,
400,stormpigs ass pat,song,,,
401,warmup rocker,song,,,
402,seborreah jazz,song,,,
403,murray hillbilly jam,song,,,
404,milf cries scotto,song,,,
405,swabbed in the right places *,song,,,
406,two man luge,song,,,
407,fade away,song,,,
408,proto,song,,,
409,the mersk descended *,song,,,
410,over forty wiring issues *,song,,,
411,the big easy,song,,,
412,now thats rock and roll *,song,,,
413,lifecycle *,song,,,
414,whats wrong with happiness,song,,,
415,island rock,song,,,
416,la fonque *,song,,,
417,the flavor,song,,,
418,mordor blues,song,,,
419,a bad taste,song,,,
420,nyc raga *,song,,,
421,disjointed bitch,song,,,
422,a nytimes force feeding *,song,,,
423,my princess full of vice  *,song,,,
424,the plump,song,,,
425,faggoty jazz *,song,,,
426,low pass interruptus,song,,,
427,mudderhead,song,,,
428,spaces *,song,,,
429,velvet glambag,song,,,
430,leave room for daddy  *,song,,,
431,hed trip  *,song,,,
432,gowanus,song,,,
433,worker bee *,song,,,
434,big pan,song,,,
435,ridiculous interlude,song,,,
436,biker boot honey *,song,,,
437,hunter-thrilla *,song,,,
438,bloodshed at the otb,song,,,
439,wet phallus,song,,,
440,cake bloch,song,,,
441,heres to the yellow n blue,song,,,
442,desperado,song,,,
443,peach-u-lator,song,,,
444,fake plastic trees,song,,,
445,heartbreaker jam,song,,,
446,blockhead,song,,,
447,country road,song,,,
448,as god made me,song,,,
449,honky tank *,song,,,
450,bayou stomp,song,,,
451,low energy woes,song,,,
452,big ole river *,song,,,
453,get back,song,,,
454,cant hardly wait,song,,,
455,ramble on,song,,,
456,comfort zone,song,,,
457,intermezzo,song,,,
458,midnight rambler,song,,,
459,no winged pig *,song,,,
460,night descent *,song,,,
461,sympathetique a diablo *,song,,,
462,johnny b,song,,,
463,pump *,song,,,
464,heart attack blues,song,,,
465,lay down evilG,song,,,
466,fBooked *,song,,,
467,charam *,song,,,
468,dirty sanchez *,song,,,
469,faith,song,,,
470,vietnamistan *,song,,,
471,thats not a hat thats a cabbage,song,,,
472,holiday joy,song,,,
473,fine arab charger *,song,,,
474,fring the bunk,song,,,
475,debtville,song,,,
476,but who are we to say *,song,,,
477,channeling Frank,song,,,
478,peach-y keen *,song,,,
479,let it go,song,,,
480,side street scam,song,,,
481,fresh as a daisy,song,,,
482,sight for sore eyes,song,,,
483,munsters groove *,song,,,
484,boy wants a salad,song,,,
485,hillibilly hop,song,,,
486,crash dive,song,,,
487,been here before,song,,,
488,tighty whiteys,song,,,
489,gotsta stay positive,song,,,
490,no reprieve bolts *,song,,,
491,radical new world,song,,,
492,attach yourself *,song,,,
493,sexy suburban sm,song,,,
494,in the beginning,song,,,
495,pchoff rant,song,,,
496,music biz woes,song,,,
497,austrian dance groove,song,,,
498,submission,song,,,
499,psycosmic cat *,song,,,
500,ballad of skinny nick *,song,,,
501,a stormpigs holiday toast,song,,,
502,vfw rfd,song,,,
503,this bottle *,song,,,
504,play the game *,song,,,
505,wolves and lambs,song,,,
506,what is happening,song,,,
507,just a reprise,song,,,
508,dig,song,,,
509,like an angel,song,,,
510,the wheel turns,song,,,
511,seven year blues *,song,,,
512,stray cat outro,song,,,
513,i got wood,song,,,
514,shutup,song,,,
515,cocoon boys,song,,,
516,king kong,song,,,
517,hard rocker,song,,,
518,le batree,song,,,
519,he blows,song,,,
520,rumblin train,song,,,
521,dim the lights *,song,,,
522,jelly bean,song,,,
523,you always do,song,,,
524,rollin groove,song,,,
525,sweetest alibi *,song,,,
526,introductions,song,,,
527,shake it *,song,,,
528,holes on the walls,song,,,
529,blue shat,song,,,
530,hot mess,song,,,
531,mulesque,song,,,
532,intermission,song,,,
533,mother she gone,song,,,
534,squid pro quo,song,,,
535,new republic,song,,,
536,grinder redux,song,,,
537,if you leave me now,song,,,
538,sissifoot,song,,,
539,shine *,song,,,
540,third sow from the sun *,song,,,
541,little wing,song,,,
542,domino,song,,,
543,christmas song in minor,song,,,
544,cowboy song,song,,,
545,300 lbs of joy,song,,,
546,carousel *,song,,,
547,the whipporwill and the wolf *,song,,,
548,thank you knob creek,song,,,
549,encounter *,song,,,
550,30st shuffle,song,,,
551,here come the natives,song,,,
552,horn of scarcity,song,,,
553,make it resonate,song,,,
554,experiment 456,song,,,
555,in defense of steel,song,,,
556,swampy innards,song,,,
557,speck of dust *,song,,,
558,bleeding in the sand,song,,,
559,texas mohammed *,song,,,
560,ghost of maybelline,song,,,
561,deniros wisdom,song,,,
562,easter sunday,song,,,
563,heatin the tubes,song,,,
564,drool,song,,,
565,bassplorection *,song,,,
566,dad interlude,song,,,
567,bales,song,,,
568,my honey doan like noise,song,,,
569,mom interruptus,song,,,
570,master beaters history,song,,,
571,how can you screw up *,song,,,
572,devils tooth *,song,,,
573,contact patch *,song,,,
574,give the bassist some,song,,,
575,why so glum,song,,,
576,the hitch broke,song,,,
577,counting hooties blowfish,song,,,
578,stonesnicity,song,,,
579,hand in hand,song,,,
580,a horse and a girl *,song,,,
581,oh dont do that,song,,,
582,danger of bad cables,song,,,
583,what hath he wrought *,song,,,
584,babbling brook rushing river lazy lake *,song,,,
585,sense of wonder *,song,,,
586,take and ye shall receive *,song,,,
587,island theme,song,,,
588,spy novel,song,,,
589,rusty scorcher,song,,,
590,one bright day,song,,,
591,holiday cheer,song,,,
592,one for lemmy,song,,,
593,we refuse *,song,,,
594,jingle all the way,song,,,
595,nature of the beast,song,,,
596,little shot of vinegar,song,,,
597,fuck the what,song,,,
598,tight operation,song,,,
599,along for the ride,song,,,
600,gonna be good for you *,song,,,
601,aint that a peach,song,,,
602,money,song,,,
603,dehydrated devo,song,,,
604,anything but straight,song,,,
605,who will stop the rain *,song,,,
606,inter miss,song,,,
607,election special *,song,,,
608,taste that smell *,song,,,
609,everybody in,song,,,
610,warming up,song,,,
611,black boots,song,,,
612,jamma slide,song,,,
613,sometimes I scream *,song,,,
614,the trail *,song,,,
615,creep,song,,,
616,youre going out that door *,song,,,
617,tell you what,song,,,
618,santeria,song,,,
619,1986 *,song,,,
620,protest song *,song,,,
621,while my guitar gently weeps *,song,,,
622,funk blast,song,,,
623,monkey man,song,,,
624,jumpin jack flash,song,,,
625,star witness/dreaming *,song,,,
626,my sharona,song,,,
627,rockin in the free world,song,,,
628,25 or 6-to-4,song,,,
629,run with me *,song,,,
630,off the cuff,song,,,
631,90 days of rain *,song,,,
632,what is that,song,,,
633,yeah *,song,,,
634,no way to shake it *,song,,,
635,happy 2016,song,,,
636,kick me to the curb *,song,,,
637,suicide squat,song,,,
638,cozy situation,song,,,
639,noodle O,song,,,
640,treason soliloquy,song,,,
641,happy birthday Pat,song,,,
642,london calling *,song,,,
643,funk 49,song,,,
644,what makes a working band,song,,,
645,i cant wait *,song,,,
646,cant let go,song,,,
647,come together *,song,,,
648,mr tamborine man,song,,,
649,its a trap *,song,,,
650,heat of the moment,song,,,
651,suit and tied *,song,,,
652,casteneda *,song,,,
653,making time *,song,,,
654,janeva faircloth,song,,,
655,almost hit by taxi,song,,,
656,bad guy trump *,song,,,
657,space age love song,song,,,
658,dead highway groove,song,,,
659,one-eighth sardinian *,song,,,
660,bedtime story,song,,,
661,Cant You?,song,,,
662,Blump,song,,,
663,New Toy,song,,,
664,Corona Blues,song,,,
665,Layers,song,,,
666,Saturday Sun,song,,,
667,Figure of a Wailer,song,,,
668,Rhythym of Change *,song,,,
669,Get It Done,song,,,
670,Start Your Engines *,song,,,
671,Well Dag Nabit *,song,,,
672,We Are Rolling,song,,,
673,The Ditty,song,,,
674,NYC Chug-A-Lug,song,,,
675,Thoughtful Indirection,song,,,
676,Kick in the Pants *,song,,,
677,Inter Miss,song,,,
678,Waiting for the Man,song,,,
679,Detroit *,song,,,
680,False Start,song,,,
681,The Return of Thunder Fingers,song,,,
682,Killer on the Loose,song,,,
683,Maddening Martial Madness,song,,,
684,Oddity,song,,,
685,Pretty Little Lambda,song,,,
686,You Cant Stay Here,song,,,
687,for a rose *,song,,,
688,dirty pot blues,song,,,
689,aint supposed to be tn whiskey,song,,,
690,musicus interruptus,song,,,
691,i done a doobie,song,,,
692,storm front,song,,,
693,feelin alright,song,,,
694,stu be good sweet home,song,,,
695,you shook me,song,,,
696,beast of a jane,song,,,
697,werewolves of london,song,,,
698,traction *,song,,,
699,barney miller,song,,,
700,adrift,song,,,
701,so obtuse *,song,,,
702,before you disappear *,song,,,
703,sweat shop,song,,,
704,goodbye ol twin,song,,,
705,mancinis ghost,song,,,
706,dont wanna hear about you,song,,,
707,dearly beloved,song,,,
708,epilogue,song,,,
709,milk run,song,,,
710,the whale,song,,,
711,joyous rout,song,,,
712,electrofunk 42,song,,,
713,betsy,song,,,
714,do you,song,,,
715,interhit,song,,,
716,be by your side *,song,,,
717,maximized *,song,,,
718,friends,song,,,
719,dangerous prey *,song,,,
720,twilight hunt *,song,,,
721,unmarked trail *,song,,,
722,the kill *,song,,,
723,wrap it up,song,,,
